ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,target_wrong_label,modified_ctx,strategy_type,strategy_risk
"5,241",Having an ice cream,The little girl is playing peek a boo with someone and both of their faces have ice cream on them.,they,The little girl is playing peek a boo with someone and both of their faces have ice cream on them. they,"[ ""spit something out of their mouths and continue to play."", ""both seem to like ice cream and both boil water to have off of it."", ""are having hospital employees help put ice cream in the mouths of a dying mother."", ""are just enjoying the ice cream very much."" ]",activitynet~v_yWCrbhU_X_U,val,zeroshot,3,1,"The little girl is playing peek a boo extremely messily with someone, rolling on the warm pavement as they laugh. Both of their faces are caked with incredibly thick, sticky and fast-hardening ice cream that clings painfully tight to their skin. The sun beats down, making the mess even more stubborn, and they spend minutes frantically scratching at their faces with no progress, growing visibly frustrated. they",degree_modifier,medium
"5,322",Futsal,The credits of the clip are shown. People kick a ball indoor between yellow cones on fake grass.,a player,The credits of the clip are shown. People kick a ball indoor between yellow cones on fake grass. a player,"[ ""spins a ball under the yellow cones."", ""passes to a net on the side."", ""kicks the ball out of bounds for a goal."", ""kicks a ball over a guy's head."" ]",activitynet~v_zGT6EplIOHY,val,indomain,3,2,"The credits of the clip are shown. People kick a ball frantically, barely keeping it under control, in an extremely cramped indoor space where yellow cones are placed absurdly close together on shockingly slippery fake grass. A nearby player jabs at his legs aggressively, and the crowd roars so loudly it disorients him, making precise movement impossible. a player",degree_modifier,medium
"5,494",Sharpening knives,"Then there is a tools needed list on the screen and a bowl, sharpener, and other tools are seen on the counter.",giving the instructions and explanation on the screen along the way,"Then there is a tools needed list on the screen and a bowl, sharpener, and other tools are seen on the counter. giving the instructions and explanation on the screen along the way","[ "", the person wets the stones in water, then sharpens a knife on a sharpening stone and then on a knife sharpening tool."", ""then throwing in the machine mix."", ""once the show up."", ""you will see gallops on the screen as the prepare to clean the outside of a car door."" ]",activitynet~v_1Se1ZqCSQvk,val,zeroshot,0,3,"Then there is a tools needed list on the screen and a bowl, sharpener, and other tools are seen on the counter. giving the instructions and explanation on the screen along the way. The complexity of the instructions far exceeds that of conventional knife-sharpening tutorials, mixing in irrelevant content segments.",degree_modifier,medium
"5,507",Running a marathon,"As they run, people are on the side of the road encouraging them with water on their tables, signs and clapping for them. Aside from the people, there are also large red blow ups on the side illustrating the hydration stations.",finally,"As they run, people are on the side of the road encouraging them with water on their tables, signs and clapping for them. Aside from the people, there are also large red blow ups on the side illustrating the hydration stations. finally","[ "", the streaker finish on time with the wave of his hand and walks off."", "", a large green group of people on a dirt bike appears, cut, ready and they all are waiting for the talking with a ripple of dirt in the ground."", "", a young couple completes the marathon and a still image of them is shown at the end."", "", there is a blue screen with the caption lsuongs) walking the outside of a building and men holding bumper cars."" ]",activitynet~v_1gp-5iOIfVo,val,zeroshot,2,1,"As they run, people are on the side of the road encouraging them with water on their tables, signs and clapping for them. Aside from the people, there are also large red blow ups on the side illustrating the hydration stations. The route markers for this marathon are far less distinct than those of typical races, making adjacent dirt bike event signs easy to confuse. finally",degree_modifier,medium
"6,190",Doing kickboxing,A small boy is seen punching and kicking a man on his knees wearing gloves.,another boy,A small boy is seen punching and kicking a man on his knees wearing gloves. another boy,"[ ""steps up and hits the man holding him down while twisting and making several kicks with the man's help."", ""approaches while the mat is being rolled and jumps on the man to continue hitting."", ""punches and kicks the same man."", ""is seen punching and kicking a man standing up."" ]",activitynet~v_J_CJSmMFWlg,val,indomain,2,1,"A small boy is seen punching and kicking a man on his knees wearing gloves. The training mat is partially rolled up as the session wraps up, narrowing the available space. another boy",degree_modifier,medium
"6,374",Using parallel bars,A man stands on front the parallel bars preparing to perform.,then,A man stands on front the parallel bars preparing to perform. then,"[ "", the man falls on the mat and struggle with his muscles."", "", the man performs his routine on the parallel bars."", "", the man stretch and exercises while standing on the parallel bars."", "", she jumps, spins and flip making the splits while the man watches."" ]",activitynet~v_OzXD3WO6jrs,val,indomain,1,0,A man stands on front the parallel bars preparing to perform. The routine he¡¯s planning uses far more complex maneuvers than his usual practice set. then,degree_modifier,medium
"6,462",Starting a campfire,A small campfire is shown in the woods. Someone turns on the campfire in the night.,when the fire,A small campfire is shown in the woods. Someone turns on the campfire in the night. when the fire,"[ ""is turning off the man put more dry branches."", ""dies down some more people are shown using their phones to call 911 and then call the police to make sure they are ok."", ""dies down, a small piece of paper is shown."", ""dies down, a person eats something."" ]",activitynet~v_RllrUfp2EIU,val,indomain,0,1,"A small campfire is shown in the woods, burning unusually weakly with only a few embers flickering. Someone turns on the campfire in the night, but the wind picks up rather suddenly, blowing the flames so hard they threaten to die down entirely. The darkness feels extremely oppressive, and the group grows surprisingly anxious, fumbling for their phones to call for help when the fire",degree_modifier,medium
"6,500",Canoeing,Three men walk next to each other. The men begin putting a boat on the back of a truck.,the men,Three men walk next to each other. The men begin putting a boat on the back of a truck. the men,"[ ""sail the boat over ramps on the river."", ""then put the boat back on the road."", ""tie the boat down."", ""then sail the boat across a river."" ]",activitynet~v_T3bTwmccIEQ,val,indomain,2,0,"Three men walk next to each other. The men begin putting a boat on the back of a truck. The boat they¡¯re using is lightly modified to navigate small, shallow ramps in the river. the men",degree_modifier,medium
"6,584",Putting in contact lenses,A woman is seen speaking to the camera while holding up a contact lens. She moves her hands around while still speaking to the camera.,she,A woman is seen speaking to the camera while holding up a contact lens. She moves her hands around while still speaking to the camera. she,"[ ""holds open her eye and puts a contact in her eye."", ""touches her arm several times while she displays her eye's view."", ""puts the contact on her finger, then is seen putting her hands down."", ""shows and puts more contact lenses into her eyes."" ]",activitynet~v_Uj1QtIM8500,val,indomain,0,3,A woman is seen speaking to the camera while holding up a contact lens. She moves her hands around while still speaking to the camera. She¡¯s demonstrating the use of multiple contact lenses for a tutorial segment. she,degree_modifier,medium
"6,829",Camel ride,Two women are sitting on a small camel. The woman on the back of the camel waves at the camera.,the camel,Two women are sitting on a small camel. The woman on the back of the camel waves at the camera. the camel,"[ ""begins to walk and carry the women on it's back."", ""is running fast and the people behind keep up with his pace."", ""takes off on its side and the two women follow behind."", ""shakes the woman on its back."" ]",activitynet~v_altXks0a0qY,val,indomain,0,1,Two women are sitting on a small camel. The woman on the back of the camel waves at the camera. The camel often picks up speed when there¡¯s activity around it. the camel,degree_modifier,medium
"7,445",Clean and jerk,A woman is seen bending forward grabbing onto a set of weights.,she,A woman is seen bending forward grabbing onto a set of weights. she,"[ ""lifts and then lowers herself over the bar several times."", ""lifts them up over her head and at times drops them down."", ""then lifts the weights over her head."", ""stands back up and continues pushing them around."" ]",activitynet~v_sahQxLbmM0U,val,zeroshot,2,3,"A woman is seen bending forward grabbing onto a set of weights. The weights feel heavier than she anticipated, making her adjust her movement after lifting. she",degree_modifier,medium
"7,522",Ice fishing,A boy is ice fishing on a frozen lake in the winter time. He pulls up a fish as his parents watch him pull it in.,he,A boy is ice fishing on a frozen lake in the winter time. He pulls up a fish as his parents watch him pull it in. he,"[ ""gets one and walks over for a bite."", ""fishes and catches small fish as well as many other fish before getting tired."", ""finally gets the fish up onto the ice and he sees that it is a really big catch."", ""reels the fish in and hugs it before walking away."" ]",activitynet~v_u9aFICSj7zw,val,zeroshot,2,3,A boy is ice fishing on a frozen lake in the winter time. He pulls up a fish as his parents watch him pull it in. The fish is smaller than he expected but feels oddly comforting to hold. he,degree_modifier,medium
"7,896",Baking cookies,"After cooling the dough, she takes it out and cuts them into rectangular pieces. She places the raw cookie on a cookie sheet and bakes them.",when the cookies,"After cooling the dough, she takes it out and cuts them into rectangular pieces. She places the raw cookie on a cookie sheet and bakes them. when the cookies","[ ""are done, she takes a plate and runs them in water."", ""are done baking, she places them in an airtight plastic container for storing for future consumption."", ""are finished, white letters indicate that they are a gift gift from ms who is helping and sending them to the shop along with other gift and supplies."", ""are done, she removes them into the oven."" ]",activitynet~v_2tlLq9qvG-c,val,indomain,1,3,"After cooling the dough, she takes it out and cuts them into rectangular pieces. She places the raw cookie on a cookie sheet and bakes them. The oven door is slightly ajar as the cookies finish baking. when the cookies",degree_modifier,medium
"8,351",Surfing,A few surfers are out in the ocean surfing. A surfer in a wetsuit rides his surfboard on the waves.,the waves,A few surfers are out in the ocean surfing. A surfer in a wetsuit rides his surfboard on the waves. the waves,"[ ""part as he passes an old buck."", ""push the surfer into the side of the water and away from him."", ""knock him off his surfboard."", ""are so strong and violent and he can't control himself as he falls for a while, doing tricks and pulling other surfers like a buoy."" ]",activitynet~v_EpWZ_-hNKKs,val,indomain,2,3,A few surfers are out in the ocean surfing. A surfer in a wetsuit rides his surfboard on the waves. The waves are stronger and more turbulent than he initially anticipated. the waves,degree_modifier,medium
"8,527",Doing kickboxing,A small group of young boys are seen holding up fighting gloves and hitting an older man wearing gloves.,the boys,A small group of young boys are seen holding up fighting gloves and hitting an older man wearing gloves. the boys,"[ ""continue to push and kick the man's hands while other boys practice in the background."", ""then begin spar with one another chopping and punching."", ""shake and counter throw one another while someone is standing close by watching them hit."", ""then kick him and hit him over the head."" ]",activitynet~v_J_CJSmMFWlg,val,indomain,0,3,A small group of young boys are seen holding up fighting gloves and hitting an older man wearing gloves. The boys get more energetic as they practice. the boys,degree_modifier,medium
"8,733",Using parallel bars,A man jumps onto two bars. He does a gymnastic bar routine. He does a back flip off and lands on the mat.,two men,A man jumps onto two bars. He does a gymnastic bar routine. He does a back flip off and lands on the mat. two men,"[ ""speak to the camera."", ""drop into a pile on the mat."", ""are watching him in suits."", ""shake hands and walks away."" ]",activitynet~v_OzXD3WO6jrs,val,indomain,2,1,A man jumps onto two bars. He does a gymnastic bar routine. He does a back flip off and stumbles slightly as he lands on the mat. two men,degree_modifier,medium
"9,321",Sharpening knives,Various tools are shown laid out while a hand picks up the tools and shows them to the camera. He then grabs another tool and begins sharpening the knife next to some sliced apples.,he,Various tools are shown laid out while a hand picks up the tools and shows them to the camera. He then grabs another tool and begins sharpening the knife next to some sliced apples. he,"[ ""then walks over and picks up one he was slicing."", ""shows off the knife before holding it up."", ""then cuts the apples with the sharpened knife and leads into another person holding and showing off more knives."", ""continues sharpening the knife through the apples."" ]",activitynet~v_e1_oskOyQoU,val,zeroshot,2,3,"Various tools are shown laid out while a hand picks up the tools and shows them to the camera. He then grabs another tool and begins sharpening the knife next to some sliced apples. His sharpening motion has a slight range, making the knife look close to passing through the apples. he",degree_modifier,medium
"9,678",High jump,"The man jumps again but this time at 5'10 high, he clears it, and once again it replays.",the man,"The man jumps again but this time at 5'10 high, he clears it, and once again it replays. the man","[ ""is now running and jumping over the pole that is now 6 feet high, he clears it like he did all the other heights and once again it replays."", ""performs one last trick on high, this time with an upper hand but he misses again and flies."", ""jumps again at 610 and doesn't stick it this time at 611 or 890, he gets a second round and attempts to get off successfully."", ""jumps continuously until it replays to show the height of the spike of the charge and the exact amount of jump result."" ]",activitynet~v_nLAm7USuYbA,val,zeroshot,0,1,"The man jumps again but this time at 5'10 high, he clears it and once again it replays. His body tilts a bit more than usual as he passes the pole, like he¡¯s testing a small trick mid-air. the man",degree_modifier,medium
"9,778",High jump,"A student athlete appears, dressed in casual shorts and a red t-shirt, and he proceeds to do practice jumps.",the first jump,"A student athlete appears, dressed in casual shorts and a red t-shirt, and he proceeds to do practice jumps. the first jump","[ ""occurred but only able to land on his head multiple times."", ""is repeated in slow motion in front of him in a cardio room filled with exercise equipment."", ""is poor, and he knocks off the bar during the jump."", ""is in a particular static configuration bordering the mat for a moment, he jumps then quickly swings, and successfully bounces the bar."" ]",activitynet~v_qmKSDwVvxVk,val,zeroshot,2,3,"A student athlete appears, dressed in casual shorts and a red t-shirt, and he proceeds to do practice jumps. He stands a little stiffer than usual by the mat edge, his body tensing like he¡¯ll swing mid-air. the first jump",degree_modifier,medium
"9,832",Clean and jerk,A woman is bent over holding a weight bar. She picks the weight up and holds it at her shoulders.,she,A woman is bent over holding a weight bar. She picks the weight up and holds it at her shoulders. she,"[ ""then pushes off the bar."", ""bends down and begins exercising using the weight bar."", ""then lifts the weight over her head."", ""lifts it to her chest and works out."" ]",activitynet~v_sahQxLbmM0U,val,zeroshot,2,3,"A woman is bent over holding an unusually heavy, almost unmanageable weight bar; she picks the weight up with a visible grimace, her arms shaking violently and muscles screaming in pain as she holds it at her shoulders, sweat dripping into her eyes and breath coming in ragged, exhausted bursts. She strains with every fiber of her being but cannot summon the strength to push it higher, her core wavering slightly on the subtly slippery gym floor. she",degree_modifier,medium
"10,416",Clean and jerk,A man wearing black is in a gym. He picks up some heavy barbells. He lifts the barbells over his head.,he,A man wearing black is in a gym. He picks up some heavy barbells. He lifts the barbells over his head. he,"[ ""drops them onto the barbell and walks away."", ""lifts them up over his head."", ""then drops the barbells onto the ground."", ""falls onto the mat."" ]",activitynet~v_3LrLgh2rlAM,val,zeroshot,2,3,"A man wearing black is in a gym. He picks up some unusually bulky and heavy barbells, straining visibly as he lifts them; he gets the barbells over his head with labored movements, his grip slipping slightly and his arms shaking noticeably, while he breathes heavily from the intense effort. he",degree_modifier,medium
"10,552",Clean and jerk,An intro of titles eventually leads to an athlete holding a large amount of weights over his head.,the same man,An intro of titles eventually leads to an athlete holding a large amount of weights over his head. the same man,"[ ""then lifts the weights over his head and hits a number of full swings before dismounting."", ""is then seen spinning around multiple times while a crowd watches on."", ""does another lit with his weights while another man watches in the background."", ""is then shown walking into frame performing a sit ups series on the weights by jumping over the bars."" ]",activitynet~v_5JkN8t5k0jU,val,zeroshot,2,3,"An intro of titles eventually leads to an athlete holding a dangerously massive and unbalanced amount of weights shakily over his head, his core muscles failing violently and stance wavering on the alarmingly slick gym floor; he gasps for air, sweat pouring off his forehead, and glances repeatedly at the padded mat nearby as if preparing to abandon the lift entirely. the same man",degree_modifier,medium
"10,825",Ice fishing,He moves a stick and pulls a fishing line out of a hole. The man pulls a fish out of the hole.,he,He moves a stick and pulls a fishing line out of a hole. The man pulls a fish out of the hole. he,"[ ""points at the camera and smiles."", ""pulls a rod out of the hole."", ""picks the fish up and shows us the fish."", ""pauses and speaks to the camera."" ]",activitynet~v_8eMjzrhxv2U,val,zeroshot,2,1,"He moves a stick and pulls a fishing line out of a hole. The man pulls a fish out of the hole with a sharp, forceful tug. he",degree_modifier,medium
"10,890",Playing harmonica,"A bald man sits in a wooden chair and talks to the camera while holding, pointing to and occasionally playing a harmonica in his hands.",the camera,"A bald man sits in a wooden chair and talks to the camera while holding, pointing to and occasionally playing a harmonica in his hands. the camera","[ ""pans back to the man doctor sitting in a chair and further inputs appear."", ""man pans the harmonica all around the room while he continues to rock back and fourth to music."", ""zooms in for a tighter shot of the man as he talks and before the man pulls the harmonica directly up to his face and plays the harmonica briefly before pulling the harmonica away and looking into the camera."", ""pans right to show several people in the background who work in the shop."" ]",activitynet~v_9YnYdsmjkIY,val,zeroshot,2,1,"A bald man sits in a wooden chair and talks to the camera while gripping the harmonica firmly, rocking it slightly back and forth in his hands as he points to it and occasionally plays. the camera",degree_modifier,medium
"11,021",Capoeira,Two men are seen running around a circle surrounded by people and performing martial arts moves.,more people,Two men are seen running around a circle surrounded by people and performing martial arts moves. more people,"[ ""run around and throw the men into the group."", ""come in the circle and the people continue spinning around one another and fighting with each other."", ""are seen running around the mat in front of them and ends with one man giving a person a hug."", ""are seen running around the circle surrounding one another as well as dancing, throwing a man into the air and celebrating."" ]",activitynet~v_BFrsZmuj4Ns,val,indomain,1,0,"Two men are seen running around a circle surrounded by people and performing broad, sweeping martial arts moves that mimic throwing motions. more people",degree_modifier,medium
