ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,target_wrong_label,modified_ctx,strategy_type,strategy_risk
5471,Cutting the grass,A man is riding on a lawn mower in his yard. He listens to music on his headphones while he mows.,he,A man is riding on a lawn mower in his yard. He listens to music on his headphones while he mows. he,"[ ""is wearing a beanie hat because it's raining outside."", ""goes around the yard, covering all of it before stopping."", ""moves around the crushed grass on his lawn mower."", ""turns around into a parking lot where there's a lot of cars."" ]",activitynet~v_0czF2CCgq6I,val,zeroshot,1,2,A man is riding on a lawn mower in his yard listening to music suddenly it starts pouring rain and he can¡¯t mow in the downpour. he,time_shift,high
5504,Running a marathon,"Several individuals are dressed in workout clothes, tying up their shoes, and placing numbers on their shirts.",all of the people,"Several individuals are dressed in workout clothes, tying up their shoes, and placing numbers on their shirts. all of the people","[ ""then begin milling around the gym while audience members see their shoes."", ""are in a parallel gym where they are adjusting their equipment."", ""are then shown in the gym, sitting, resting, doing weights, cycling, and doing websites with their phone number."", ""meet at the starting line and begin a marathon throughout the city."" ]",activitynet~v_1gp-5iOIfVo,val,zeroshot,3,2,"Several individuals are dressed in workout clothes, tying up their shoes, and placing numbers on their shirts. They pause to wipe sweat from their foreheads and glance toward the gym equipment nearby, letting their shoulders relax a little. all of the people",time_shift,high
5544,Raking leaves,A man is raking leaves in a yard. He is using a clear bag to package them up.,he,A man is raking leaves in a yard. He is using a clear bag to package them up. he,"[ ""uses big pail to wash the leaves."", ""kneels down and puts what he is raking on the ground."", ""then moves the bags out of the yard and mows the lawn."", ""scrapes the leaves together and wraps them with tape."" ]",activitynet~v_2Sev8z4P7pE,val,indomain,2,1,A man is about to start raking leaves he notices a thick layer of dry leaves that fell overnight so he kneels down to gather those first before grabbing the clear bag. he,time_shift,high
5814,Tumbling,A man is inside of a gym. He starts doing flips inside the gym. He does many tricks as he jumps in the air.,he,A man is inside of a gym. He starts doing flips inside the gym. He does many tricks as he jumps in the air. he,"[ ""lands on his feet after the tricks."", ""stops performing many tricks back and fourth."", ""continues to do the splits as he sports his body from various angles."", ""does more flips from the outside and on inside the gym."" ]",activitynet~v_AFtFitXAFks,val,indomain,0,1,A man is inside the gym doing flips and tricks nonstop for 15 minutes his legs start cramping so he has to stop and catch his breath immediately. he,time_shift,high
5823,Powerbocking,A group of boys are on the sidewalk of a street. They are bouncing around on stilts.,they,A group of boys are on the sidewalk of a street. They are bouncing around on stilts. they,"[ ""continue talking as they bounce and walk."", ""have wrapping paper in their hands."", ""hit hoops each other as they walk."", ""bounce and flip over a wobbly bar onto a mat."" ]",activitynet~v_ASXqlsSfZ5E,val,indomain,0,2,A group of boys are on the sidewalk they plan to bounce down the street later but right now they¡¯re focused on practicing flips over the wobbly bar. They,time_shift,high
5922,Cutting the grass,A backyard is shown between a wooden fence.,a man,A backyard is shown between a wooden fence. a man,"[ ""is mowing the yard up and down."", ""is washing dishes in the sink."", ""is pushed through by a silver cart carrying some lawn tools."", ""is swinging a tennis racket on the ground."" ]",activitynet~v_CjPN7fw0B48,val,zeroshot,0,1,"A backyard is shown between a wooden fence. a man wipes a few crumbs from his hands and adjusts the cuffs of his shirt, glancing briefly toward the back door of the house. a man",time_shift,high
6181,Washing face,Both of the girls are laughing and joking with one another until they start to wash their face and clean it with green rags.,after,Both of the girls are laughing and joking with one another until they start to wash their face and clean it with green rags. after,"[ "", the girl takes a rain squeezer and washes her face that is clean and little by little."", ""rinsing their face, they both dry their face off with a towel that is hanging down from the door and come back to the camera to show pure faces."", "", the person on the right cleans their face with a pink toothbrush and also cleans their other face."", ""they have washed the potatoes the two legs turns to lather the rag and the bread cut out of the tub, followed by the pieces of proper version of what had been put in."" ]",activitynet~v_JMlNfZlOyX8,val,zeroshot,1,0,Both of the girls are laughing and joking until they start to wash their face with green rags they leave the wash on to lather for 2 minutes before rinsing. After,time_shift,high
6183,Making a lemonade,A table is shown covered in water bowls and lemons. A woman is talking about how to create lemonade from the ingredients.,she,A table is shown covered in water bowls and lemons. A woman is talking about how to create lemonade from the ingredients. she,"[ ""pops the lemons with a straw."", ""begins by adding a smaller amount of lemon juice as well as sugar and waving the lemons around."", ""starts by cutting up some bananas and spreading the juice in a bowl."", ""squeezes juice from the lemons and adds sugar and water."" ]",activitynet~v_JMpwIWxoB5s,val,indomain,3,2,"A table is shown covered in water bowls and lemons. A woman is talking about how to create lemonade from the ingredients. She wipes banana pulp from her fingers and sets a peeled banana aside, glancing at the fruit knife on the table. She",time_shift,high
6223,Gargling mouthwash,A boy is talking to a camera. He goes into a bathroom and drinks a cup of mouthwash.,he,A boy is talking to a camera. He goes into a bathroom and drinks a cup of mouthwash. he,"[ ""then hands the mouthwash to a young man."", ""sits down on the toilet, proud of himself."", ""spits it out into the sink in front of him."", ""rinses off the mouthwash and bows in the end."" ]",activitynet~v_KFS_lGlO-Ew,val,zeroshot,2,0,A boy is talking to a camera then goes into the bathroom to drink mouthwash his little sister has been waiting outside to use it next. He,time_shift,high
6451,Polishing forniture,A close up of a chair is shown with a person spraying it down. The person holds up a product and wipes their hands on the dirty chair.,he,A close up of a chair is shown with a person spraying it down. The person holds up a product and wipes their hands on the dirty chair. he,"[ ""then shovels some white powder all over the chair."", ""continues mopping the chair and throws it away."", ""rubs down the chair with a rag as well as with a hose."", ""then zooms in and can see the holes he just sprayed them with."" ]",activitynet~v_RVZprJDJz1U,val,indomain,2,0,A close up of a chair is shown the person sprays it down and applies white powder to absorb deep stains the powder needs 10 minutes to set so he can¡¯t rub it down yet. He,time_shift,high
6501,Canoeing,The men begin putting a boat on the back of a truck. The men tie the boat down.,the men,The men begin putting a boat on the back of a truck. The men tie the boat down. the men,"[ ""take a ladder to board the boat on their backs."", ""climb across the rope."", ""drives to a lake and they all go fishing."", ""then jump down the side of a bridge."" ]",activitynet~v_T3bTwmccIEQ,val,indomain,2,0,The men are preparing to put the boat on the truck first they need to use a ladder to lift it and then they¡¯ll tie it down. The men,time_shift,high
6587,Removing curlers,A woman is standing in front of the camera.,she,A woman is standing in front of the camera. she,"[ ""is talking about her hairstyle."", ""is using a squeegee to wipe a shoe."", ""is holding a frame of pictures."", ""has a leaf blower in her hand."" ]",activitynet~v_UodvUEkuVig,val,indomain,0,1,A woman is standing in front of the camera. She holds a small cleaning cloth in her hand and glances down at a scuffed shoe placed beside the camera stand. She,time_shift,high
6617,Carving jack-o-lanterns,The man goes into the living room and comes back and carves the pumpkin. The man goes to the sink then leaves the room and comes back.,the man,The man goes into the living room and comes back and carves the pumpkin. The man goes to the sink then leaves the room and comes back. the man,"[ ""blows bread then continues working in the living room."", ""pierces the pumpkin a second time and sits on the couch."", ""shows another pumpkin and puts wax on it then cleans it and puts more wax on it."", ""finishes carving and walks away."" ]",activitynet~v_VceicZDzH3U,val,indomain,3,0,The man goes into the living room and comes back and carves the pumpkin. The man goes to the sink then leaves the room and comes back. He brushes a crumb from his sleeve and grips a small yeast packet he¡¯d grabbed from the kitchen counter on his way. the man,time_shift,high
6725,Shoveling snow,A person is standing in the heavy falling snow. They are trying to clear the snow off the sidewalk.,the child,A person is standing in the heavy falling snow. They are trying to clear the snow off the sidewalk. the child,"[ ""walks towards the car and snow clears it."", ""then gets on their snowboards, puts on their sleds and takes off down the road."", ""just stands with the shovel, not sure what to do."", ""is rubbing the snow off of the sidewalk."" ]",activitynet~v_Z1N185E4gsk,val,indomain,2,3,A person is standing in heavy snow trying to clear the sidewalk their gloves soak through after 30 minutes and their hands start to numb so they rub the snow off to warm up. The child,time_shift,high
7102,Gargling mouthwash,A shirtless guy enters a bathroom and yawns. The guy brushes his teeth. The guy drinks a beverage. The guy now fully clothed dances.,the guy,A shirtless guy enters a bathroom and yawns. The guy brushes his teeth. The guy drinks a beverage. The guy now fully clothed dances. the guy,"[ ""places his hand behind his neck and begins to disrobe."", ""climbs out of bed and shaves his legs."", ""continues to brush his teeth."", ""poses with the beverage."" ]",activitynet~v_iSJ87SnNLPc,val,zeroshot,3,1,"A shirtless guy enters a bathroom and yawns. He rubs a pillow mark off his cheek, and his discarded pajama pants lie by the bathroom door. The guy brushes his teeth. The guy drinks a beverage. The guy now fully clothed guy dances. the guy",time_shift,high
10945,Playing badminton,A man is shown stretching before engaging in a tennis match in front of a crowd. He then speaks to the crowd amongst flashing cameras through a microphone.,the man,A man is shown stretching before engaging in a tennis match in front of a crowd. He then speaks to the crowd amongst flashing cameras through a microphone. the man,"[ ""then resumes speaking to the crowd and pointing off into the distance."", ""returns to talking to the crowd."", ""finishes his match and runs a towel over his face."", ""is occasionally shown playing tennis, then goes back to speaking to the group."" ]",activitynet~v_A6DBt7UgWEg,val,indomain,3,2,"A man is shown stretching, dabbing sweat from his forehead with a towel he¡¯d grabbed from his bag, before pausing as he glances at the tennis court where equipment lies scattered. He then speaks to the crowd amongst flashing cameras through a microphone. the man",time_shift,high
