ÐòºÅ,example_id,article,answer,question,options,modified_question,target_wrong_choice,strategy_type,strategy_risk
11,middle869.txt,"For many American teenagers, having a part-time job is an important part of growing up. A part-time job can teach teenagers important skills like responsibility , independence ,teamwork and leadership.
Young people can expand  their social circles beyond their classmates by making friends with co-workers. And many teenagers find that earning their own money gives them a sense of pride and freedom.
The US Department of Labor allows teenagers to apply for jobs at the age of 14. Popular part-time jobs include working in ice cream stores, coffee shops, and clothing stores. During the school year, teenagers may go to work a few times a week after their classes get out, then work for longer on the weekends.
In the summer, top jobs for teens include working at camps, swimming pools and amusement parks. These jobs are great for young people who want to be active and have fun while making money.
A favorite job for many teens is babysitting , and they can start before 14 if the parents agree. After the children are sleeping and before the parents come home, babysitters have lots of freedom.
As long as they stay in the house and make sure the kids are okay, babysitters can do their homework, enjoy a snack, watch TV, or talk on the phone with friends.
It can be stressful to balance school, homework, and a part-time job. Still, many American teenagers value their work experience and the skills they gain on the job.",A,American teenagers can work when they are   _   years old by law.,['fourteen' 'thirteen' 'twelve' 'eleven'],American teenagers can work when they are at least _ years old by law.,B,degree_modifier,high
12,middle3614.txt,"The seahorse is a very strange fish. Do you know what its head looks like? It looks like a horse. Of course it is not as big as a horse. You can pick it up with one hand. It swims with its head up and tail down.
This strange looking fish often remains still. It will hang on to a bit of weed  with its tail. Then when a small fish swims by, the seahorse will suddenly jump and eat it up.
Mother seahorse lays eggs .These eggs are kept in Father's pouch .When the eggs hatch, the babies pop out of the pouch into the sea.",D,A seahorse is   _  .,"['bigger than a horse' 'the same size as a horse' 'as big as a horse'
 'much smaller than a horse']",A seahorse is _ if we compare it with a real horse.,B,degree_modifier,high
13,middle1737.txt,"When you look up into the sky at night, have you ever felt that your eyes are playing tricks on   you? It seems that the stars are moving all the time.
Actually, there is nothing wrong with your eyes. This twinkling effect is called scintillation  . Scintillation happens because of air movements in the earth's atmosphere  . Light is ""bent  "" when it travels through different parts of the earth's atmosphere. As the air in the earth's atmosphere is moving all the time, the light from the stars looks as if it is moving too.
The same thing also happens to things on the ground. On a very hot and shiny day, if you look at the road, the image in the distance is not clear and things move slightly. You can also see the same effect if you drop a rock into water. The rock appears a little unclear under the moving water.
This twinkling effect causes a lot of problems for astronomers   since they cannot _ the stars clearly. A telescope   was sent into space so that the air movements in the atmosphere could be avoided  . It took a long time to build the space telescope but finally in 1990, a huge space telescope called the Hubble Space Telescope was successfully sent into space. Since then, astronomers have many important observations that have helped people understand space better.
,.  (10)",C,What happens to the light from the stars we see when the air in the earth's atmosphere is moving?,"['It looks even brighter.' 'It looks as if it is bent.'
 'It looks as if it is moving.' 'It looks like drops of rain.']",What happens to the light from the stars we see when the air in the earth's atmosphere is moving? It causes the most dramatic change that _.,B,degree_modifier,high
14,middle8066.txt,"Children in England mustn't work until they are 13. They need to have a work permit   to start working.
The jobs teenagers can do
Delivering   newspapers
Many teenagers will get up early to deliver newspapers to houses in their local area before going to school. They are known as Paper-boys or Papergirls.
Babysitting: Looking after young children in their home while their parents have gone out for the evening is a popular job for teenagers, as they get money for watching children and television all at the same time!
Helping the Milkman: From the age of 14 some teenagers help the milkman deliver milk to houses.
Other popular jobs : Working in a shop; Office work; Washing cars ; In a cafe or restaurant. The hours teenagers (13 and 14 year olds )can work:
School Days
Not more than 2 hours in one day during the following periods:
Morning 7 a. m. --start of school or Evening
close of school-- 7 p. m.
Saturdays: Up to 5 hours between 7 a.m. and 7 p.m.
Sundays
Up to 2 hours between 7 a.m. and 11 a. m.
Term time
Up to 12 hours a week (Including weekends)",A,ZHEYITIAO ,['10.' '14.' '17.' '20.'],How many hours a week may teenagers work nearly a dozen during the term time?,B,degree_modifier,high
15,middle5580.txt,"We know exercise is important in our life. Everyone needs to do exercise. Doctors say doing sports is good for us. Sports can make our body healthy.
It's very useful  for children, too. It can make children clever. This means they will do well in study and schoolwork.
There are easy ways to exercise. You can walk, run, or only jump. When you do exercise, you need to know what you are doing. Don't do sports too much at a time. Try all kinds of sports and look for one, two or even three sports you like. You can also exercise at the gym . Exercise can be fun. It can make you happy. Friends can exercise together at a gym or they can do sports together at any place they like.",B,It is NOT true that   _  .,"['everyone needs to do sports'
 'doing a lot of sports at a time makes you very healthy'
 'we should try all kinds of sports'
 'people can do exercise at the gym or at home']","What's a common piece of advice about trying various forms of exercise, which people might mistakenly think is unwise?",C,degree_modifier,high
16,middle7429.txt,"Victory Bacelis is a California immigrant who grew up in a poor village in Mexico. He is used to working hard. He works more than 90 hours a week at three different jobs, including McDonal's. He is saving up to buy a house.
One day, while Victory was cleaning the floor at McDonal's, he found an envelope and picked it up. There was $612 in it. He called the police to report the lost money. The police couldn't find the owner, so they gave the money back to Victory.
Then Victory read a story in the newspaper about Adrian Snadoval, a baby who was very sick. Victory decided to give the money away to help pay for the baby's operation. Victory truly has a heart of gold.",C,The writer thinks that Victory is   _  .,['very poor' 'very funny' 'very kind' 'very lucky'],"Thinking about his background and how hard he has to work, Victory Bacelis is first of all a _ boy.",A,degree_modifier,high
17,middle4197.txt,"Mr. Yang is a doctor. He cares a lot about not only others' health but also his own. He controls( )his weight carefully. To him, _ is the most important thing to do if one wants to enjoy good health.
Mr. Yang controls his weight in two ways: exercising and not eating much. As a doctor. Mr. Yang is too busy to go to the gym. He exercises by getting off the bus one or two stops early and walking the rest of the way to his office.
Besides, he doesn't eat much. Mr. Yang has a special habit. When he buys a belt, he asks the salesperson to punch a hole in the belt at 90cm from the buckle end of the belt, so that he ca always remind  himself. He will stop eating if he feels the belt a little too tight . Mr. Yang thinks exercising doesn't work as well as eating less.",B,Mr.Yang controls his weight in   _   way(s).,['one' 'two' 'ninety' 'many'],Mr.Yang controls his weight in barely more than _ way(s),A,degree_modifier,high
18,middle2387.txt,"Jim, a successful businessman, told the experience of his childhood.
When he was 12, his parents died. He was alone and didn't get on well with others. People always laughed at him. No one showed kindness to him.
His only friend was a dog named Tiger. He gave his dog enough to eat and drink, but sometimes he was not polite to it. He didn't know that an unkind word sometimes could cut one's heart like a knife.
One day as he walked down the street, a young lady was walking in front of him. Suddenly one of her bags dropped from her arms. As she stopped to pick it up, she dropped other bags. He came to help her. ""Thank you, dear! You are a nice little boy!"" she said kindly, smiling.
A special feeling came to him. These were the first kind words he had ever heard. He watched her until she went far away, and then he whistled to his dog and went directly to the river nearby.
""Thank you, dear! You are a nice little boy"" he repeated the woman's words. Then in a low voice he said to his dog, ""You are a nice little dog!"" Tiger raised its ears as if it understood.
""Unum! Even a dog likes it!"" he said. ""Well, Tiger, I won't say unkind words to you any more."" Tiger waved its tail happily.
The boy thought and thought. Finally he looked at himself in the river. He saw nothing but a dirty boy. He washed his face carefully. Again he looked. He saw a clean nice boy. He was amazed. From then on, he had a new life.
After telling this, the businessman stopped for a while, and then he said, ""Ladies and gentlemen, this is the very place where that kind woman planted in me the first seed of kindness. All of us should learn about kindness. What a great power it has!""",C,Which of the following is Right according to the passage?,"['He never took good care of his friend, Tiger.'
 'He usually had many friends around him.'
 'He helped a young lady when her bag dropped.'
 'He often washed his dirty face in lake.']",Which of the following was NOT true before the boy started his new life?,D,degree_modifier,high
19,middle7598.txt,"Chinese writer Mo Yan won the Nobel Prize in Literature in 2012. Mo, who was born in 1955 from a farmer's family in Gaomi county in Shandong Province, is the first person in China to win the Nobel Prize in Literature. In his early years, life was not easy and he experienced hunger. These things have influence Mo Yan's later writings.
Park Geun-hue is 64 years old this year. She was selected the new President of South Korea in December, 2012. She is the country's first female head of state and her term will last five years from 2013. ""I will become a president who puts people's living before anything else,"" she told the cheering people in central Seoul as she accepted her win. ""I will keep my promises.""
Barack Obama (born in Honolulu, Hawaii in 1961), who was elected the 44th President of the United States in 2008, has been elected again to a second term. Obama is a graduate of Columbia University and Harvard Law School. His father was from Kenya. And his mother was born in Wichita, Kansas.",A,Which of the following is NOT true about the passages?,"['The writer Mo Yan lived in a big city before he got the prize.'
 'Park Geun-hue will lead South Korea till the year 2018.'
 'Obama studied in Columbia University and Harvard Law School.'
 'Among the three persons, Park Geun-hue is the oldest.']","Which of the following, combined with the term arrangement of national leaders, is very nearly NOT true about the passages?",B,degree_modifier,high
20,middle2436.txt,"There are two main kinds of sports. These two kinds of sports are team sports and individual   sports. Team sports are such sports as baseball, basketball, and volleyball. Team sports need two separate   teams. The teams play against each other. They compete against each other to get the best score. For example, in a football game, if team A gets 8 points and team B gets 4 points, team A wins the game. Team sports are sometimes called competitive   sports.
Another kind of sports is individual sports. In individual sports there are no teams. There isn't any competition. People play individual sports in order to get some exercise, not to win a game. Individual sports are such sports as swimming, skiing, and running.
Of course, it is possible   to compete in individual sports. It is possible to keep a score in individual sports. The main difference, however, between team sports and individual sports is that individual sports can be finished alone. But team sports always need more than one person.
,.",D,_   sports need more than one person in the games.,['No' 'Favorite' 'Individual' 'Team'],_ sports often need only one person in the games.,C,degree_modifier,high
21,middle2436.txt,"There are two main kinds of sports. These two kinds of sports are team sports and individual   sports. Team sports are such sports as baseball, basketball, and volleyball. Team sports need two separate   teams. The teams play against each other. They compete against each other to get the best score. For example, in a football game, if team A gets 8 points and team B gets 4 points, team A wins the game. Team sports are sometimes called competitive   sports.
Another kind of sports is individual sports. In individual sports there are no teams. There isn't any competition. People play individual sports in order to get some exercise, not to win a game. Individual sports are such sports as swimming, skiing, and running.
Of course, it is possible   to compete in individual sports. It is possible to keep a score in individual sports. The main difference, however, between team sports and individual sports is that individual sports can be finished alone. But team sports always need more than one person.
,.",C,Team sports   _   .,"['are also called individual sports' 'can be done alone'
 'need two teams to play against each other'
 'are the same as individual sports']",Team sports usually _ when people play games like football and basketball.,B,degree_modifier,high
22,middle8032.txt,"Driving a car at a high speed along a highway seems to be fun. You only need to follow the bright traffic signs beside the highway and it will take you where you wish to go. But to a London taxi driver, driving is not an easy job. A taxi driver needs to have not only good driving skills but also a good knowledge of the city of London, from the loneliest street to the popular restaurant around. He has to be at the service of all kinds of passengers   at all times.
A London taxi driver said the following about his job.
During the night it is usual for him to stop two or three times for some food. He said, ""I never drink when I'm working, otherwise I'd lose my license  .""
He normally goes home between two and three o'clock in the morning. There are times he has to stay longer and try to make more runs. He said, ""That's the worst thing about working for yourself. If you don't make money, no one is going to give it to you. ""
London taxi drivers not only ""take"" but also ""give"". Every summer hundreds of poor children from London go for a day at the sea -- by taxi! There rides are paid by the taxi drivers. At the sea, they are met by the mayor   , and a lunch party is also held for the taxi drivers and the children. After a happy day's running around the beaches and visiting the market there, the children go home again by taxi, free of charge of course!",D,Which of the following words can be used to describe London taxi drivers?,"['Brave and careful' 'Rich and generous' 'Modest and easy-going'
 'Hard-working and kind']",Which of the following words can be used to describe London taxi drivers when they are talking modestly about themselves?,C,degree_modifier,high
23,middle1588.txt,"Air is all around us. It is around us as we talk and play. From the moment we were born, We are surrounded by air. When we sit down, it is around us. When we go to bed, air is also around us. Wherever we are on the earth, We are surrounded by air. We live in air.
All living things need air, living things can't live without air. We can go without food or water for a few days, but we can't live for more than a few minutes without air. We breathe in air. When we are working or running, We need more air. So we breathe faster than usual. When we are asleep, We need less air.",B,The writer tells us that   _,"['there is less air on the earth than on the moon'
 'the earth is covered with air' 'the earth is covered with water'
 'there is no air on the earth']","When considering the air distribution characteristics of different celestial bodies, the writer tells us that _ is extremely nearly the situation described",A,degree_modifier,high
24,middle1588.txt,"Air is all around us. It is around us as we talk and play. From the moment we were born, We are surrounded by air. When we sit down, it is around us. When we go to bed, air is also around us. Wherever we are on the earth, We are surrounded by air. We live in air.
All living things need air, living things can't live without air. We can go without food or water for a few days, but we can't live for more than a few minutes without air. We breathe in air. When we are working or running, We need more air. So we breathe faster than usual. When we are asleep, We need less air.",C,Which of the following things needs air?,['Land' 'A mirror' 'A cat' 'A river'],Which of the following things most obviously needs air?,A,degree_modifier,high
25,middle6461.txt,"People usually check whether their keys, wallets and phones are with them before going out. But many people in China now have one more important thing to take, a face mask. They hope that it can protect them from polluted air.
Since January 2013, many cities in China have seen a lot of foggy days. In Beijing, only five days in January _  . What's the difference between fog and smog?
According to scientists, fog is made up of tiny   drops of water and also ice particles   during very cold conditions. Smog is dirty air that looks like a mixture of smoke and fog, caused mainly by smoke from cars and factories in cities.
An official for the Ministry of Environmental Protection told Beijing News that PM2.5 pollution is the main problem with air pollution. PM 2.5 refers to pollution with small particles 2.5 micrometers or less in diameter  .
According to the Chinese Academy of Sciences, two main factors that cause PM 2.5 are motor vehicles and the burning of coal.
Poor air has done harm to people's health. Children and the elderly are more at risk. A report from Beijing Children's Hospital shows that from December 5 to December 11, 2013, half of the patients in the hospital came for respiratory   problems.
Air problems and environmental protection have become a care for the whole nation.
Premier Li Keqiang made his last Government Work Report  on March 6, 2014. The report said that the government should work hard to prevent pollution and give people a healthy living environment.
It calls on people to make full use of energy and resources   and cut down on energy use.
'We should give people hope through our actions,' Li said.",D,"From Li Keqiang's report, we learn that   _  .","['the environment has improved a lot since Li was in office'
 'many people have breathing problems because of the air pollution'
 ""the air pollution problem is the government's task""
 'the government will try its best to solve the air pollution problem']","From Li Keqiang's report, we learn that a rather direct policy implication suggests ____.",C,degree_modifier,high
26,middle70.txt,"""Can I see my baby?"" asked the happy new mother. When the baby was in her arms, she couldn't believe her eyes. The baby was born without ears.
Time proved  that the baby's hearing was very good though he had no ears. He got on well with his classmates. But one day, he said to his mother, tears in his eyes, ""A big boy called me a freak  .""
The boy's father asked the family doctor. ""Could nothing be done?""
""I believe I could graft   on a pair of outer ears if they could be got,"" the doctor said. They tried to find a person who was helpful for the young man.
One day, his father said to the son, ""You're going to the hospital, son. Mother and I have someone who will donate the ears you need. But we must keep it a secret who the person is.""
The operation  was a great success, and a new person appeared. His cleverness and hard work made him a very successful person. He married and lived a happy life.
He once asked his father, ""Who gave me the ears? I could do enough for him or her.""
""I do not believe you could, ""said the father."" The agreement was that you are not to know...not yet.""
For years they kept it a secret, but the day did come. He stood with his father over his mother's body. Slowly, the father raised the thick, brown hair. To his surprise, the son found his mother had no outer ears.
""Mother said she was glad she never needed to cut her hair,"" his father said in a low voice, ""and nobody ever thought mother less beautiful, did they?""",B,Which of the following is true according to the passage?,"[""The boy couldn't hear without ears at first.""
 ""The boy didn't know the truth   until his mother died.""
 'His parents often encouraged him to work hard.'
 'His classmates were always making fun of him.']",Which of the following is most definitely true according to the passage?,A,degree_modifier,high
27,middle3540.txt,"In a small village in England about 150 years ago, a mail coach (    ) was standing on the street . It didn't come to that village often  . People had to pay a lot to get a letter . The person who sent the letter didn't have to pay the postage (     )  , while the receiver had to .
""Here's a letter for Miss Alice Brown , "" said the mailman .
"" I'm  Alice Brown , "" a girl of about 18 said in a low voice .
Alice looked at the envelope  for a minute , and then handed it back to the mailman .
"" I'm sorry I can't take it , I don't have enough money to pay it"", she said .
A gentleman standing around were very sorry for her . Then he came up and paid the postage for her .
When the gentleman gave the letter to her , she said with a smile , "" Thank you very much ,This letter is from Tom . I'm going to marry him . He went to London to look for work . I've waited a long time for this letter , but now I don't need it , there is nothing in it .""
"" Really ? How do you know that ? "" the gentleman said in surprise .
"" He told me that he would put some signs on the envelope . Look ,sir ,this cross in the corner means that he is well and this circle means he has found work . That's good news .""
The gentleman was Sir Rowland Hill . He didn't forgot Alice and her letter .
"" The postage to be paid by the receiver has to be changed ,"" he said to himself and had a good plan .
"" The postage has to be much lower , what about a penny (    ) ? And the person who sends the letter pays the postage . He has to buy a stamp and put it on the envelope ."" he said .
The government accepted his plan . Then the first stamp was put out in 1840 . It was called the "" Penny Black "" . It had a picture of the Queen on it .",C,From the passage we know the high postage made   _   .,"['People never send each other letters'
 'lovers almost lose every touch with each other'
 'people try their best to avoid  paying it'
 'receivers refuse to pay the coming letters']","From the passage we know the high postage made, understandably, _",D,degree_modifier,high
28,middle743.txt,"We are all learning English, but how can we learn English well? A student can know a lot about English, but maybe  he can't speak English. If you want to know how to   swim, you must get into the river. And if you want to be a football player, you must play football.
So, you see. You can learn English only by  using it. You must listen to your teacher in class. You must read your lessons every day. You must speak English to your classmates and also you must write something sometimes. Then one day, you may find your English very good.",B,"If you want to be a football player, you should  _","['buy a good football' 'play football' 'watch others play football'
 'put your football away']","If you want to be a football player, you should _ instead of only watching the games.",C,degree_modifier,high
29,middle743.txt,"We are all learning English, but how can we learn English well? A student can know a lot about English, but maybe  he can't speak English. If you want to know how to   swim, you must get into the river. And if you want to be a football player, you must play football.
So, you see. You can learn English only by  using it. You must listen to your teacher in class. You must read your lessons every day. You must speak English to your classmates and also you must write something sometimes. Then one day, you may find your English very good.",A,The story of learning swimming and playing football tells us  _,"['we learn English by using it' 'swimming needs water'
 'playing football is easy' 'learning English is difficult']","The story of learning swimming and playing football tells us, a rather seemingly challenging implication suggests ____.",D,degree_modifier,high
30,middle5895.txt,"Four girls go to school every day by taxi. One day one of the girls says, ""There is a test this morning. Let's get to school late. Then we will not have the test.""
""What can we tell the teacher?"" One of the girls says. ""He will be angry. We will need a good excuse.""
The girls think for a moment, then one of them says, ""Let's tell him that our taxi has a flat tire .""
""That's a good idea,"" the other girls say. ""We will tell him that.""
They get to school an hour later. The test is over. ""Why are you late? You missed the test.""
""Our taxi had a flat tire."" One of the girls said.
The teacher thought for a moment, then he said, ""sit down, One of you in each corner of the room."" The four girls do this.
Then the teacher says, ""Write down a piece of paper the answer to this question: Which tire is flat?""",C,Can the girls answer the teacher's question?,"[""No, they can't. Because they can't remember which tire is flat.""
 'Yes, they can. Because there is a flat tire.'
 ""No, they can't. Because they may give a different answer.""
 'Yes, they can. Because all four tires are flat.']","Can the girls answer the teacher's question, a rather easily predictable memory issue suggests ____.",A,degree_modifier,high
31,middle912.txt,"What are your clothes made of? Are they made of cotton or wool? Some students in Shandong wear different things. Their clothes are made of discs  or old clothes!
On October 7th, 36 students in Linyi, Shandong Province, wore beautiful clothes in a show. Their clothes were made of all kinds of things.
The show gave the students a chance to make things with their own hands. It also helped them learn to make good use of waste and not to throw everything away.
Students had lots of good ideas. Some found used things, like old clothes, to make new dresses.
""We hope to save energy. Our world is _ of energy. So I don't want to just throw old things away,"" said Xie Jing at Linyi Art School.
Xie had more than 20 discs on her nice blue dress. She got them from her family and friends.
""Though the discs are old, I look very cool in them!"" she said.
Song Dandan, a student from the school, looked like a farmer in her straw  coat and hat. She picked the straw from the fields and put them all together.
""I want to show what people wore in the past."" she said.
Du Yue made clothes for astronauts ! She had white cloth all over her. When she walked, she tried to be slow. It looked like she was walking on the moon.
""I hope to wear it in space  some day. I wish that I could walk on the moon!"" she said.",D,The students' clothes were made of   _  .,['silk' 'cotton' 'waste paper' 'all kinds of things'],"The students' clothes were made of, a rather seemingly common fabric suggests ____.",B,degree_modifier,high
