example_id,article,answer,question,options,modified_question,target_wrong_choice,strategy_type,strategy_risk
middle6667.txt,"Tony is a boy. He is 16 years old. He studies in a middle school. He often watches TV and likes the popular hair style . His parents and teachers tell him not to do so, but he doesn't listen to them.
One Sunday afternoon his mother buys a beautiful shirt for him and he loves it very much. The next morning, it is cold, but he still puts it on. That evening he has a bad cold. His parents take him to hospital.
About thirty minutes later, a nurse brings him to a women's ward .""Don't you know I am a boy""? says Tony.""Oh, I'm sorry. I don't know you are a boy, because your hair is too long"".",C,His mother buys a beautiful   _  for him.,['computer' 'book' 'shirt' 'flower'],His mother buys a beautiful   _   for him to wear to the party.,A,condition_scope,high
middle1470.txt,"Just as in face-to-face communication, there are some basic rules of behavior  that should be followed on the Internet. The basic rule is simple: treat others in the same way you would want to be treated. Imagine how you'd feel if you were in the other person's shoes.
For anything you're about to send: ask yourself, "" Would I say that to the person's face?"" If the answer is no, rewrite and reread. If someone in the chat room is rude to you, you needn't to fire back. You should either ignore  the person, or use your chat software to block their messages. Remember to respect the beliefs and opinions of others in the chat room.
Everyone was new to the network once. Offer advice when asked by newcomers, as they may not be sure what to do or how to communicate. When someone makes a mistake, be kind about it. If you do decide to tell someone about the mistake, point it out politely. At the same time, if you find you are wrong, be sure to correct yourself and apologize to those that you have offended . You'd better not ask others questions about their age, sex and families. Unless you know the person very well, and you are both comfortable with sharing personal information, or don't ask such questions.",A,You should point out someone's mistake   _  .,['politely' 'rudely' 'patiently' 'seriously'],You should point out someone's mistake   _   when you are in an online chat room.,C,condition_scope,high
middle966.txt,"Val is a six-year-old boy. He begins to go to school this term. He studies very hard and listens to the teachers carefully. He is polite and has many friends. They all like him very much.
It was Sunday. Val, his sister and his mother stayed at home. His mother was doing some housework, his sister was doing her homework. Val was watching TV. At ten his father came back with some apples. The boy liked apples very much and wanted to eat some of them. His mother gave him four apples and said, ""Go and wash them.""
Val washed the apples and then gave them back to his mother. Mother asked, ""Which apple do you want, Val?""
""The biggest one, Mum.""
""What?"" said his mother, ""You should be polite and want the smallest one.""
""Should I tell a lie to be polite, Mum?""",A,Why did his mother ask Val to wash the apples?,"['Because he was free.' 'Because he liked washing apples.'
 'Because his mother was lazy.' ""Because he didn't like apples.""]",Why did his mother ask Val to wash the apples before supper?,B,condition_scope,high
middle3226.txt,"Mr. Smith is one of my friends. He can run very fast and he is always ready to show  how fast he can run.
One day a thief  breaks into his house,takes some things of his and runs off as fast as he can. Mr. Smith runs after him and shouts :""Stop! Stop! Don't you know you can't run away from me?""
But the thief only runs faster. Mr. Smith gets angry. He tries his best to run. He is soon a few miles away from his house. He doesn't see anything or anybody and is still rushing  alone  when he runs into  me.
""Why are you in such a hurry?""
""I'm trying to catch a thief.""
""But where is the thief?"" I ask.
""Far, far behind me,"" says Mr. Smith with a smile on his face.
""He thinks he can run faster than me,but you see he is wrong.""",B,Someone takes some of his things from his house and   _  .,['hides  behind his house' 'runs away quickly' 'flies away' 'is caught'],Someone takes some of his things from his house and   _   before Mr. Smith finds out.,D,condition_scope,high
middle4359.txt,"British food is very different from Chinese food. For example, they eat a lot of potatoes.They like to eat them every day.They eat a lot of bread with butter for breakfast and usually for one other meal. Butter is made from milk.They do not eat much rice.For their dinner they like meat or fish with potatoes and one or two other vegetables.They cook all this together.After dinner they always have something sweet.They do not have dumplings.They drink a lot of tea.They are the biggest tea drinkers in the world.They like Chinese tea, but they usually drink strong black tea from India.",C,Which of the following is not true?,"['English people drink a lot of tea.'
 'Chinese food is different from British food'
 'Both Chinese people and English people like rice and fish.'
 'English people like both Chinese tea and Indian tea.']",Which statement about their tea tastes would people think is right after knowing they drink Indian tea often?,D,condition_scope,high
middle6946.txt,"Visiting Harvard University
For All Visitors
Attend an hour-long group information meeting in the Admissions Office  
Admissions officers give information and answer questions about the visit. No appointment or registration   is required for families or groups of 20 people or less who wish to visit the university. Groups of more than 20 people should email tours @ fas. Harvard. Edu to plan a visit.
Take a tour
Take a student-led tour of the university. But the dorms  , academic departments , athletic facilities  and libraries are not included on any of our tours.
Attend a class
The Admissions Office provides a list of the meeting times and locations of courses held during the academic year that visitors are welcome to attend.
Speak with the Harvard teachers
Teachers and other staff members are often glad to talk to people who have questions about our programs. It is best to write ahead directly to the office to arrange an appointment.
For Seniors Only
Eat a meal with Harvard students
During the academic year, high school seniors are our guests for one meal in Annenberg Hall, the first-year dining hall, or in one of the House dining halls if accompanied by a House resident.
Stay overnight in one of the residence halls
Our office can arrange for high school seniors to stay with volunteer student hosts for one night, Monday through Thursday, from October 1st through early March. We need to hear from you by phone (617-495-1551) or by mail at least three weeks in advance for us to be able to confirm your stay with a host.",B,Which place can be visited according to the text?,['Dorms.' 'Dining halls.' 'Libraries.' 'Academic departments.'],Which place can be visited according to the text without special permission?,A,condition_scope,high
middle2638.txt,"If you see a group of people dancing and singing on the street or in the railway station, you don't need to feel surprised. They are flash mobbers  . Who are they? Are they mobs ? Don't feel afraid hearing their name. In fact, like a mob, they are a large group of people, but they have a good purpose. They usually get together in a place, do some simple actions, and then quickly disappear.
Flash mob is now becoming more and more popular. People use it to do many things. For example, in 2009, Michael Jackson's fans took part in a flash mob to remember him. Hundreds of his fans organized through Internet and got together outside the railway station in Liverpool. They were singing and dancing Michael's famous song ""Beat It"" together. And in another example, some people took part in a flash mob to tell more people not to use negative words  .
Flash mobs give different people a chance to come together to create a good memory.",C,Where may you see a flash mob?,"['In schools.' 'In villages.' 'In the railway stations.'
 'On the playground.']",Where may you see a flash mob if you are in a big city?,B,condition_scope,high
middle7023.txt,"Mr. and Mrs. Green lived in a big city. One summer they went to the country for their holiday. They enjoyed it very much because it was a quiet, clean place.
One day they went for a walk early in the morning and met an old man. He lived on a farm, and he was sitting in the warm sun in front of his house. Mr. Green asked him, ""Do you like to live in this quiet place?""
The old man said, ""Yes, I do.""
Mr. Green then asked, ""What are the good things about it?""
The old man answered, ""Well, the people here know each other. They often come and visit me, and I often go and visit them. And there are also many children here."" Mr. Green said, ""That's interesting, and what are the bad things?""
The old man thought for a moment and then said, ""Well, the same things, really.""",C,"The old man sometimes liked the people to   _  , but sometimes he didn't.","['ask him questions' 'keep the place quiet and clean' 'come and visit him'
 'make interesting things']","The old man sometimes liked the people to   _  , but sometimes he didn't when he wanted to be alone.",B,condition_scope,high
middle1737.txt,"When you look up into the sky at night, have you ever felt that your eyes are playing tricks on   you? It seems that the stars are moving all the time.
Actually, there is nothing wrong with your eyes. This twinkling effect is called scintillation  . Scintillation happens because of air movements in the earth's atmosphere  . Light is ""bent  "" when it travels through different parts of the earth's atmosphere. As the air in the earth's atmosphere is moving all the time, the light from the stars looks as if it is moving too.
The same thing also happens to things on the ground. On a very hot and shiny day, if you look at the road, the image in the distance is not clear and things move slightly. You can also see the same effect if you drop a rock into water. The rock appears a little unclear under the moving water.
This twinkling effect causes a lot of problems for astronomers   since they cannot _ the stars clearly. A telescope   was sent into space so that the air movements in the atmosphere could be avoided  . It took a long time to build the space telescope but finally in 1990, a huge space telescope called the Hubble Space Telescope was successfully sent into space. Since then, astronomers have many important observations that have helped people understand space better.
,.  (10)",B,What can you see when you drop a rock into the water?,"['The rock gets broken.' 'The rock becomes unclear.'
 'The water becomes much polluted.' 'The water does not move anymore.']",What can you see when you drop a rock into the water on a clear day?,D,condition_scope,high
middle8066.txt,"Children in England mustn't work until they are 13. They need to have a work permit   to start working.
The jobs teenagers can do
Delivering   newspapers
Many teenagers will get up early to deliver newspapers to houses in their local area before going to school. They are known as Paper-boys or Papergirls.
Babysitting: Looking after young children in their home while their parents have gone out for the evening is a popular job for teenagers, as they get money for watching children and television all at the same time!
Helping the Milkman: From the age of 14 some teenagers help the milkman deliver milk to houses.
Other popular jobs : Working in a shop; Office work; Washing cars ; In a cafe or restaurant. The hours teenagers (13 and 14 year olds )can work:
School Days
Not more than 2 hours in one day during the following periods:
Morning 7 a. m. --start of school or Evening
close of school-- 7 p. m.
Saturdays: Up to 5 hours between 7 a.m. and 7 p.m.
Sundays
Up to 2 hours between 7 a.m. and 11 a. m.
Term time
Up to 12 hours a week (Including weekends)",A,Paper-boys and Papergirls deliver newspapers    _,['early in the morning' 'at noon' 'in the afternoon' 'in the evening'],Paper-boys and Papergirls deliver newspapers    _   before going to school.,C,condition_scope,high
middle8066.txt,"Children in England mustn't work until they are 13. They need to have a work permit   to start working.
The jobs teenagers can do
Delivering   newspapers
Many teenagers will get up early to deliver newspapers to houses in their local area before going to school. They are known as Paper-boys or Papergirls.
Babysitting: Looking after young children in their home while their parents have gone out for the evening is a popular job for teenagers, as they get money for watching children and television all at the same time!
Helping the Milkman: From the age of 14 some teenagers help the milkman deliver milk to houses.
Other popular jobs : Working in a shop; Office work; Washing cars ; In a cafe or restaurant. The hours teenagers (13 and 14 year olds )can work:
School Days
Not more than 2 hours in one day during the following periods:
Morning 7 a. m. --start of school or Evening
close of school-- 7 p. m.
Saturdays: Up to 5 hours between 7 a.m. and 7 p.m.
Sundays
Up to 2 hours between 7 a.m. and 11 a. m.
Term time
Up to 12 hours a week (Including weekends)",B,Teenagers in England can do all of the following except   _   .,"['work in an office' 'work in a night club' 'look after young children'
 'deliver newspapers']",Teenagers in England can do all of the following except   _   on weekends.,A,condition_scope,high
middle139.txt,"Once upon a time, there was an island where all the feelings lived: Happiness, Sadness, Knowledge, and all of the others, including Love. One day the feelings were told that the island would sink, so all built boats and left, except Love. Love was the only one who stayed. Love wanted to hold out  until the last possible moment.
When the island had almost sunk, Love decided to ask for help.
Richness was passing by Love in a big boat. Love said, ""Richness, can you take me with you?""
Richness answered, ""No, I can't. There is a lot of gold and silver in my boat. There is no place here for you.""
Love decided to ask Vanity  who was also passing by in a beautiful ship.""Vanity, please help me!""
""I can't help you, Love. You are all wet and might damage  my boat, ""Vanity answered.
Sadness was close by so Love asked, ""Sadness, let me go with you.""
""Oh...Love, I am so sad that I need to be by myself!""
Happiness passed by Love, too, but she was so happy that she did not even hear when Love called her.
Suddenly, there was a voice, ""Come, Love, I will take you.""It was an elder. So thankful and happy, Love even forgot to ask the elder where they were going. When they arrived at dry land, the elder went her own way. Realizing how much was owed  the elder, Love asked Knowledge, another elder, ""Who helped me?""
""It was Time, ""Knowledge answered.
""Time?""asked Love.""But why did Time help me?""
Knowledge smiled with deep wisdom  and answered, ""Because only Time is able to understand how valuable Love is.""",A,How did the feelings go away from the island?,['By water.' 'By swimming.' 'On foot.' 'By flying'],How did the feelings go away from the island when it was going to sink?,D,condition_scope,high
middle6723.txt,"Dear Mr. Expert,
I grew up in an abusive  home. I always promised myself that I'd get out as soon as possible. Now, at age 20, I have a good job and a nice house of my own, and I'm really proud.
Here's the problem: some of my friends who still live with their parents spend the weekends with me. But now they make mine theirs. They bring boy friends over, talk on the phone, etc.
I enjoy having my friends here sometimes - it makes the place feel comfortable and warm, but this is my home, not a party house, what shall I do?
Joan
Dear Joan,
If your family didn't pay attention to your needs when you were a child, you probably have trouble letting others know your needs now.
And if you've gathered your friends around you to rebuild a happy family, you may fear that saying no will bring back the kind of _ that you grew up in. You need to understand that in true friendship it's okay to put your own needs first from time to time.
Be clear about the message you want to send. For example, ""I really love you, but I also need some personal space. So please call before you come over.""
Edward",C,"According to Mr. Expert, why can't Joan tell her friends her feeling?","['She is afraid of hurting her friends.'
 'She does not understand true friendship.'
 'Her family experience stops her doing so.'
 'She does not put her needs first.']","According to Mr. Expert, what is Joan's biggest problem now when she tries to tell her friends how she feels?",D,condition_scope,high
middle6795.txt,"My friend Tom is a schoolboy. Everyone likes him very much because he is kind. He likes to help people. He is a smart boy and he can play many musical instruments . After school, when he is with his friends, he often plays musical instruments for them. On weekends, he is free and he always goes to the old people's home. He plays the violin and the guitar to make them happy. He thinks it's interesting and fun.
Today is February 28th. It's Tom's birthday. He has a big and interesting party at home. Many friends come to his party. Tom's mother cooks a lot of food for them. Everyone gives a beautiful gift to him. Sally gives him an English dictionary because Tom also likes English. Bob gives Tom a guitar because he likes playing the guitar very much. At the party, Tom plays the guitar and he also plays the piano. We sing many songs and play some interesting games. We have a good time today.",D,Tom   _   on his birthday.,['does his homework' 'goes to a movie' 'goes to the store' 'has a party'],"To celebrate his birthday outside his home, Tom   _   .",B,condition_scope,high
middle6795.txt,"My friend Tom is a schoolboy. Everyone likes him very much because he is kind. He likes to help people. He is a smart boy and he can play many musical instruments . After school, when he is with his friends, he often plays musical instruments for them. On weekends, he is free and he always goes to the old people's home. He plays the violin and the guitar to make them happy. He thinks it's interesting and fun.
Today is February 28th. It's Tom's birthday. He has a big and interesting party at home. Many friends come to his party. Tom's mother cooks a lot of food for them. Everyone gives a beautiful gift to him. Sally gives him an English dictionary because Tom also likes English. Bob gives Tom a guitar because he likes playing the guitar very much. At the party, Tom plays the guitar and he also plays the piano. We sing many songs and play some interesting games. We have a good time today.",C,_   gives Tom an English dictionary.,['His mother' 'His father' 'Sally' 'Bob'],Who in his family most probably gives Tom an English dictionary as a birthday present?,A,condition_scope,high
middle2790.txt,"Do you know the story about Vince? It was a true story. Vince was an English boy and he was eight years old. He didn't like soap or water. Three or four times a day his mother said to him, ""Vince, your hands are very dirty again."" Go and wash them. "" But Vince never washed them well. He only put his hands in the water for a few seconds and then took them out again.
Vince's uncle and aunt lived in another city. One day they came to stay with Vince's parents, and they brought their small son, Toby, with them. Toby was seven years old and he didn't like soap or water, either. The boys sat with their parents for a few minutes and then they went outside. When they were playing, Vince looked at Toby's hands and then went back to Toby's parents and said proudly  , ""Toby's hands are dirtier than mine, ""
""Of course they are,""Toby said angrily. ""You are one year older than I am, """,C,How many people are there in the story?,['Four.' 'Five.' 'Six.' 'Seven.'],How many adults are there in the story?,A,condition_scope,high
middle7429.txt,"Victory Bacelis is a California immigrant who grew up in a poor village in Mexico. He is used to working hard. He works more than 90 hours a week at three different jobs, including McDonal's. He is saving up to buy a house.
One day, while Victory was cleaning the floor at McDonal's, he found an envelope and picked it up. There was $612 in it. He called the police to report the lost money. The police couldn't find the owner, so they gave the money back to Victory.
Then Victory read a story in the newspaper about Adrian Snadoval, a baby who was very sick. Victory decided to give the money away to help pay for the baby's operation. Victory truly has a heart of gold.",D,Why does Victory work so hard? Because   _  .,"['he is very strong' 'he likes his work very much'
 'he is helping his parents' 'he is saving up to buy a house']",Why does Victory say he must work so hard for his family?,C,condition_scope,high
middle7429.txt,"Victory Bacelis is a California immigrant who grew up in a poor village in Mexico. He is used to working hard. He works more than 90 hours a week at three different jobs, including McDonal's. He is saving up to buy a house.
One day, while Victory was cleaning the floor at McDonal's, he found an envelope and picked it up. There was $612 in it. He called the police to report the lost money. The police couldn't find the owner, so they gave the money back to Victory.
Then Victory read a story in the newspaper about Adrian Snadoval, a baby who was very sick. Victory decided to give the money away to help pay for the baby's operation. Victory truly has a heart of gold.",D,What was in the envelope?,['3 dollars' '90 dollars' '612 yuan' '612 dollars'],"According to the story, how much money does Victory finally decide to give away from the envelope to help the sick baby?",B,condition_scope,high
middle4395.txt,"It?s always hard to say goodbye to someone you love. In Washington DC, US, local   zoo-goers are sad about the news that their superstar panda Tai Shan is going to leave the National Zoo.
At a morning meeting on December 4, zoo director  Steven Montfort said that the black-eared bear would be going off to China sometime over the winter, under an agreement with the Chinese government.
Tai Shan, whose name means ""peaceful mountain,"" was born at the DC zoo on July 9, 2005. He has been loved by zoo-goers since his first public show in December of that year.
But under the agreement that brought his mother, Mei Xiang, and father, Tian Tian, to the zoo from China, all three belong to   China.
Tai Shan should have been returned to China when he was 2. But China gave him two extensions   to stay at the National Zoo. Tai is old enough to breed  . So it?s time for him to come back to China and join a program to try to increase the panda population.
The National Zoo has tried to breed Mei Xiang a few times since Tai Shan was born, without success. Montfort said the zoo would try again soon in the hope of producing another baby panda. ""We?re hopeful every year,"" he said.",C,Where can the passage probably be taken from?,['A dictionary.' 'A science book.' 'A newspaper.' 'A novel.'],Where can the passage most probably be taken from if it is used to introduce a science program on pandas?,B,condition_scope,high
middle7598.txt,"Chinese writer Mo Yan won the Nobel Prize in Literature in 2012. Mo, who was born in 1955 from a farmer's family in Gaomi county in Shandong Province, is the first person in China to win the Nobel Prize in Literature. In his early years, life was not easy and he experienced hunger. These things have influence Mo Yan's later writings.
Park Geun-hue is 64 years old this year. She was selected the new President of South Korea in December, 2012. She is the country's first female head of state and her term will last five years from 2013. ""I will become a president who puts people's living before anything else,"" she told the cheering people in central Seoul as she accepted her win. ""I will keep my promises.""
Barack Obama (born in Honolulu, Hawaii in 1961), who was elected the 44th President of the United States in 2008, has been elected again to a second term. Obama is a graduate of Columbia University and Harvard Law School. His father was from Kenya. And his mother was born in Wichita, Kansas.",C,The three passages may be from   _  .        .,['an e-mail' 'a letter' 'news' 'an ad'],"If these three short texts are sent together to a friend, they may be from   _  .",A,condition_scope,high
middle1853.txt,"To make sure that you enjoy your visit to the Harper Hot Springs and that you are safe during your visit, please take time to read the following:
Do not put your head under the hot water because it may be bad for your eyes.
Do not run around because the floors may be _ 
Do not leave your children alone.
Do not leave your things about. Just ask one of our workers to look after your things.
Do not eat or drink anything in the area because we want to keep the area clean .There is a place for you to eat and soft drinks when you need to have a rest.
Do not bring anything made of glass into the area, because it maybe easily to broken when you fall.
Do not bring any hard drinks into the area.
Do not smoke in the area.
Do not stay in the sunlight for too long.
We hope that you will enjoy your visit here
,. . (10)",C,The purpose of this notice is  _   .,"['to ask people to visit the Spring' 'to make people know the area'
 'to tell visitors what not to do' 'to tell the visitors to have a rest']",The purpose of this notice is mainly  _   for visitors in the rest area.,D,condition_scope,high
middle2436.txt,"There are two main kinds of sports. These two kinds of sports are team sports and individual   sports. Team sports are such sports as baseball, basketball, and volleyball. Team sports need two separate   teams. The teams play against each other. They compete against each other to get the best score. For example, in a football game, if team A gets 8 points and team B gets 4 points, team A wins the game. Team sports are sometimes called competitive   sports.
Another kind of sports is individual sports. In individual sports there are no teams. There isn't any competition. People play individual sports in order to get some exercise, not to win a game. Individual sports are such sports as swimming, skiing, and running.
Of course, it is possible   to compete in individual sports. It is possible to keep a score in individual sports. The main difference, however, between team sports and individual sports is that individual sports can be finished alone. But team sports always need more than one person.
,.",B,"In a football match team A gets 1 point and team B gets 3 points, then   _   .",['team A wins' 'team B wins' 'team B loses' 'both teams win'],"In a special football game where the team that gets fewer points is the winner, if team A gets 1 point and team B gets 3 points, then   _   .",A,condition_scope,high
middle5318.txt,"Kate is an American girl. Now she lives in New York with her parents. She lives in a community called Sunny Community. It's on Blue Street. There are five rows  of buildings in the community. Her house is in the first row. She lives on the third floor.
There is a post office on Blue Street . Next to it ,there is a bank. Across from the bank ,there is a bookstore. The workers in the bookstore are very friendly to people. Mrs Green works in it. She is Kate's new neighbor. She has a son. His name is Bob. He is in the same class as Kate.
Kate thinks the traffic here is very good, because she never meets any accidents here. She loves her community very much.",D,Where is the bookstore ?,"['Next to the post office' 'Next to the bank.' 'Behind the post office'
 'Across from the bank']","If you stand at the bank and want to go directly to the bookstore, where is the bookstore?",A,condition_scope,high
middle8032.txt,"Driving a car at a high speed along a highway seems to be fun. You only need to follow the bright traffic signs beside the highway and it will take you where you wish to go. But to a London taxi driver, driving is not an easy job. A taxi driver needs to have not only good driving skills but also a good knowledge of the city of London, from the loneliest street to the popular restaurant around. He has to be at the service of all kinds of passengers   at all times.
A London taxi driver said the following about his job.
During the night it is usual for him to stop two or three times for some food. He said, ""I never drink when I'm working, otherwise I'd lose my license  .""
He normally goes home between two and three o'clock in the morning. There are times he has to stay longer and try to make more runs. He said, ""That's the worst thing about working for yourself. If you don't make money, no one is going to give it to you. ""
London taxi drivers not only ""take"" but also ""give"". Every summer hundreds of poor children from London go for a day at the sea -- by taxi! There rides are paid by the taxi drivers. At the sea, they are met by the mayor   , and a lunch party is also held for the taxi drivers and the children. After a happy day's running around the beaches and visiting the market there, the children go home again by taxi, free of charge of course!",C,"How do London taxi drivers ""give""?","['They give the poor children a lunch party at the sea each summer.'
 'They give poor children the chance to meet the maor.'
 ""They pay for some poor children's rides for a day's tour each summer.""
 'They play with some poor children at the sea for a day each summer.']","How do London taxi drivers ""give"" when they want to show thanks to the passengers who often take their taxis?",A,condition_scope,high
